author,comment,likes,published_at
@SkullModder,ok and?,0,2026-01-01T04:52:31Z
@Salinaspace25,Let's do something again with the stormbreaker captain Says,0,2026-01-01T04:52:31Z
@FaTaL_OP,Hell Nooooo!!!!!!!!!!,0,2026-01-01T04:51:30Z
@Salinaspace25,Thor in serious mode .... Doom is coming 😮 RDJ dialogue let's ready for party ( Avengers),0,2026-01-01T04:51:02Z
@rinneganmastery3035,boring,0,2026-01-01T04:50:01Z
@alicanyldz5006,"At last, we will see Prime Thor again.",53,2026-01-01T04:49:49Z
@Salinaspace25,"Let's bring Thanos here 😂😂
He doesn't pray for Thanos",0,2026-01-01T04:49:19Z
@Nzambi237,Who's he praying to? i thought he was a God...,0,2026-01-01T04:46:31Z
@OTR-37,I’m the only one who loved love and thunder,0,2026-01-01T04:46:29Z
@seventeene,we're so back lfg!!!,0,2026-01-01T04:45:14Z
@S2Kgamerlive,"“If the old Avengers return, the box office will be a blast.”",0,2026-01-01T04:43:17Z
@aidanbocis,Soon enough we’ll see Romanoff,0,2026-01-01T04:43:01Z
@nicobillones7498,All of this is just 1 bad summer for thor... bro is already 1500 years old. 😂,0,2026-01-01T04:41:16Z
@tylerthemad6325,"“Thor, The God of War”",0,2026-01-01T04:39:54Z
@venomgaming1041,Thor in INFINITY WAR haircut means things are serious now🔥,2,2026-01-01T04:37:15Z
@TanmitPlayz,1:11 Stranger things Clock music,2,2026-01-01T04:37:11Z
@andrewmontoya9292,Doom like thanos is lucky he didn’t meet the allfather Odin.,0,2026-01-01T04:36:29Z
@punisher9148,Bhai goosebumps aagya ye dekh k 😍,0,2026-01-01T04:30:27Z
@Kamshiery,"Dec 18 2026. aint no way we're getting GTA6 before avengers doomsday, but man i want it to be a good movie like inf war and endgame but we have to wait almost a whole other YEAR",0,2026-01-01T04:27:02Z
@edrianmendoza6822,Thor on his Kratos arc,0,2026-01-01T04:26:03Z
@AlluDarlng,Thor r.i.p in doomsday 😢,0,2026-01-01T04:25:07Z
@entronics,"Father all my life I've answered every call, text, and email...but now fate has given me a bill I just can't pay....",0,2026-01-01T04:21:28Z
@NateDaDon-jw2bs,We need RUNE KING THOR. I think that’s why both of his eyes were blue in the trailer. Weren’t one brown and one a diff color? Think that’s how he sacrificed them?,0,2026-01-01T04:20:47Z
@SurajRathod-q2t,What a pitcher!❤❤,0,2026-01-01T04:19:46Z
@WarEagle2019,0:55 never noticed how big his nostrils were,0,2026-01-01T04:18:35Z
@Zen_krovoid,You know it's serious when Thor starts praying,1,2026-01-01T04:17:22Z
@xxthesarcasm,Thor will probably die,0,2026-01-01T04:16:12Z
@user-rw4xi8sm8h,Meh,0,2026-01-01T04:15:51Z
@sewerchickenfilms6445,WHY IS THOR CRYING,0,2026-01-01T04:11:56Z
@adarfenigstein6457,If he dies I die 😢,0,2026-01-01T04:10:46Z
@sunnytelugugamer143,Anyone today again 😊 happy new year all 😊 I'm waiting for movie 😢 0:40 😮😊,0,2026-01-01T04:09:44Z
@JGsVerdict,More garbage,0,2026-01-01T04:09:39Z
@Sir_I.I_William,Thor has a wife and kids?,0,2026-01-01T04:09:04Z
@razaanmaharjan5382,Bring me more Thor please,0,2026-01-01T04:06:44Z
@shreya7162,Dr doom bachcha chor banega,1,2026-01-01T04:04:09Z
@Carter_C737,Maybe Thor will aim for the head this time😂,0,2026-01-01T04:04:02Z
@Zrich-dq8bl,Is this real?,0,2026-01-01T04:03:24Z
@erob18,Thor's gonna die. goofy Thor. Prime Thor has returned,0,2026-01-01T04:02:12Z
@Optimus-3000,"Thor in love and thunder: 🥴🫠🤡🤪🤣😂

THOR in Avengers: Doomsday: 🗿🐐🔥💀☠🥶",0,2026-01-01T04:01:17Z
@Cosmicmyth14,Who’s here before 2026??,1,2026-01-01T04:00:11Z
@the_saiki.k,"Doom visiting Thor in the middle of a Forest, 
Similar to Thor visiting Kartos and Atreus in GoW would be sick 🔥",1,2026-01-01T03:59:47Z
@unicopile,💙💙💙💙,0,2026-01-01T03:58:45Z
@TranceFat,You know you’re cooked when everyone else here is using the word cooked… 😂,0,2026-01-01T03:57:18Z
@Yosef1952,They just keep milking it and milking it and milking it more. Tired of these endless sequels. Enough.,0,2026-01-01T03:54:52Z
@Sammi1978,Are we gonna get one of these every month until release day???,0,2026-01-01T03:52:59Z
@fundibaz,"I missed this look ❤❤

That's why he is the strongest avenger ever ❤❤❤❤❤❤",0,2026-01-01T03:51:20Z
@sumittyagi5,"Now if they will kill Thor in this movie, I’ll be done with Marvel. 
First Iron Man, Captain America, Black Widow and now Thor ?",0,2026-01-01T03:51:09Z
@G0ku-ssj3-ss1,Ai hai,0,2026-01-01T03:49:20Z
@zClouds-6,Im Scared how hard will be battle of Avengers:Dooms Day,0,2026-01-01T03:48:09Z
@skersin,why does he have short hair again?,0,2026-01-01T03:44:43Z
@nishphoto,Love is Chris Hemsworth's child surprise.,1,2026-01-01T03:44:10Z
@GioIsLazy,generational,0,2026-01-01T03:43:25Z
@multimensional6943,Sooo Thor got his normal eye back???,0,2026-01-01T03:41:56Z
@SkiYoungBoy,Yess,0,2026-01-01T03:36:29Z
@KindestSyon,never thought I'd get chills from a marvel trailer but here I am,0,2026-01-01T03:35:59Z
@lilj9331,Oh great he’s asking for strength… yep we lost doom wins,1,2026-01-01T03:32:34Z
@edwardgamerx9061,"As Odin said: A wise king never seeks out war, but he must always be ready for it.",1,2026-01-01T03:30:15Z
@RitaLade-e9i,We know when Thor is begging for more power then we are cooked 💀,1,2026-01-01T03:29:38Z
@kiwiworld,Hope they don't try an nerf thor again,1,2026-01-01T03:29:02Z
@HawkknightXC88,Return of good old heroes again. After seeing Captain America Steve Rodgers makes a return and now thor. Honestly am more excited for Doomsday more then ever.,0,2026-01-01T03:25:11Z
@varunmishra8962,Yippi another nostalgia slop,0,2026-01-01T03:22:26Z
@BattleMonste,where is original hulk bring back,0,2026-01-01T03:22:12Z
@B1G70U89,I'm so over Marvel and DC,0,2026-01-01T03:19:18Z
@TippsForPSP,"You can see he is once again even more bigger now. look at his neck bro, he lives in the gym now",0,2026-01-01T03:17:28Z
@CiViLiANXOG,"OMG, this is gonna be Chris's biggest role yet, and judging from this trailer his best one. I hope and pray Doomsday knocks it out the park!",0,2026-01-01T03:16:53Z
@rja62b,all the avengers teasers has involved OG avenger's children so far... hmmmmmm.......,0,2026-01-01T03:15:58Z
@thedestroyer2alltrolls411,Better than the Steve Rogers Doomsday teaser trailer.,0,2026-01-01T03:14:58Z
@kdbmichael,Will He return from Doomsday?,0,2026-01-01T03:14:14Z
@matt.irish.photography,""" I'm the upgrade "" Homelander - Thor is back baby & we are not ready he's about to make A battle appearance like when he arrives Infinity War 🗿⚡️🐐",0,2026-01-01T03:14:08Z
@Walmartshopper0284,This is Thor. They way he should have been. No more goofball Thor,1,2026-01-01T03:13:32Z
@SqueekinSqueek12,Will Thor be crying,0,2026-01-01T03:12:51Z
@afraidcomet,Are we going to get a 1 min teaser trailer for each character? That's going to be a lot of trailers...,1,2026-01-01T03:08:14Z
@izagil2dsd,"Thorn, without Jean   :'(",0,2026-01-01T03:07:20Z
@SpaceMonkeyHimself,"I'm not one for hyperbole, but the writing is freakin' amazing. ""A life untouched by the storm"", ""... and return home to her not as a warrior but as warmth.  To teach her not battle but stillness, the kind I never knew.""  Hemsworth's delivery gets me right in the feels.  Love it.",700,2026-01-01T03:05:58Z
@libia.a,Oi,0,2026-01-01T03:05:00Z
@sulimanghafary,A story involving Thor without Taika Waititi sounds like a delight,0,2026-01-01T03:01:16Z
@Sammy86,Is this real or fan made?,0,2026-01-01T02:56:55Z
@90s_editz,Why was Thor crying?? 😭😭,3,2026-01-01T02:56:12Z
@blood_ackerman6190,"Thor, are u Will die at doomsday?",0,2026-01-01T02:55:37Z
@squallleonhart5670,Optimus locked in.,1,2026-01-01T02:48:42Z
@Sagorislam2424,King is back,2,2026-01-01T02:47:39Z
@varanjitsingh9663,little early for a trailer don't you think?,0,2026-01-01T02:47:39Z
@Avezado.,THE HAIRCUTTTT IS BACKKKKK,1,2026-01-01T02:46:59Z
@AyushDhar-so4nv,Everyone will get goosebumps when they see loki returning 💀,0,2026-01-01T02:44:42Z
@ash072,"Dr, Doom... seen with Franklin Richards.  Captain America teaser, shows him holding his child.  Thor teaser shows him talking about his ""daughter"" (Gorr's resurrected child).  

Dr. Doom be after the children....",0,2026-01-01T02:44:29Z
@dawsonvisionproductions,Anyone else seeing a trend here with the children?,0,2026-01-01T02:44:21Z
@Deeheeheee,"At this rate, the film might as well be called AVENGERS:PARENTING GROUP CHAT.",0,2026-01-01T02:43:43Z
@xenozanai,We better see spider man in ts,0,2026-01-01T02:43:37Z
@metallicheart_07,garden of gethsemane - son praying to father. ❤,0,2026-01-01T02:41:26Z
@PsyQoBoy,"Okay... New Years Resolution.
1. Survive 2026 till GTA VI comes out.
2. Survive 2026 till Doomsday releases in Theatres. 😁😁😁",0,2026-01-01T02:40:16Z
@WildHorizon-94,"Okay but seriously.. We NEED to have the next live action Justice League movie, AFTER, the release of Doomsday. I'm happy for Marvel fans, but I genuinely want DC to succeed and be on par with the MCU. It's time for the DC cinematic universe to soar. Go see Supergirl!",1,2026-01-01T02:38:09Z
@ulpex3514,This Teaser itself prove Doomsday Thor are no joke..,1,2026-01-01T02:37:32Z
@gamechanger2324,"A yr away, I already 4got 🤦",0,2026-01-01T02:37:12Z
@Marvelous0414,Just give us the 5 hr trailer or release the full movie in Youtube now.,0,2026-01-01T02:36:52Z
@TarunPulgam,I’m definitely getting my tickets to see this movie next year,0,2026-01-01T02:27:52Z
@kimkickout,Doctor Doom must be a The Marvels greatest superheroes' rival,0,2026-01-01T02:26:37Z
@JohnTana-u9l,Kill Doomsday,0,2026-01-01T02:24:42Z
@charlesb7481,Boring,0,2026-01-01T02:23:20Z
@lobsta1124,yawn,0,2026-01-01T02:22:56Z
@Ladyarmyxmen,This gonna be epic,0,2026-01-01T02:18:36Z
@AsimKhan-yv8rx,You know it's not joke when thor cuts his hairs☠️,1,2026-01-01T02:17:46Z
@AwanKurniawan-k2e,LONG LIFE MARVEL LONG LIFE AVENGERS,0,2026-01-01T02:15:31Z
@tttttttttttttttt5634,"A whole year to wait???
Im good",0,2026-01-01T02:15:22Z
@thisisforyou222,Anyone in 2026,0,2026-01-01T02:13:43Z
@God-of-Garbage,This trailer makes me feel like a good piece of bread,0,2026-01-01T02:13:37Z
@spideybox1,bro is not gonna live😭😭😭😭,0,2026-01-01T02:12:09Z
@CAStudio90,"At this point they should just bring Black Widow and Ironman.
Post Endgame Marvel failed BIG time so they need Thor and Captain America cause they dont believe in characters they Made over last 6 years.
Where is She Hulk, Iron Heart, Eternals, The Marvels, Ms Marvel etc?
If u wanna sell the movie just bring Deadpool.",0,2026-01-01T02:10:24Z
@georgeoommen9489,The rise of Thor ,0,2026-01-01T02:09:55Z
@Lil_H4LO,December 18🫩,2,2026-01-01T02:08:28Z
@KingArata,How strong is doom then💀,0,2026-01-01T02:08:15Z
@EnriqueDeSexual,Oh my god he’s gonna die isn’t he,0,2026-01-01T02:08:01Z
@Realvaccum,Is he going to die?,0,2026-01-01T02:07:29Z
@ASonOfTheMostHighGod,🫡...,0,2026-01-01T02:05:20Z
@botupinggam3590,Thor prayer to  our father,0,2026-01-01T02:04:10Z
@mintruth,Goosebumps!!!,0,2026-01-01T01:59:36Z
@sergiom1136,2026 🔥⚡,1,2026-01-01T01:59:14Z
@neroeganrac4512,I was watching my screen pitch black thinking it was just audio 😂,0,2026-01-01T01:58:36Z
@kabelo_ke_mang,"The script my guy, is already cold",0,2026-01-01T01:51:23Z
@theRealDonaldTrump666,when this fails to reach 1billion at the box office all the avengers cast are fired and the reboot begins with xmen and fox cast xmen may be fired or simply used in a old logan flick,0,2026-01-01T01:46:28Z
@beastmode6047,I see they’re trying to pull us back in,3,2026-01-01T01:43:51Z
@chandrashekhar-gk4dx,Did spider man in doomsday.,0,2026-01-01T01:40:32Z
@shahruladzninmohdshuhaimi1862,Thor got Odinforce this time?,0,2026-01-01T01:40:06Z
@onlytrusttv8191,december is too far,0,2026-01-01T01:39:13Z
@anggaangga4664,There is no buildup for this movie unlike previous story,0,2026-01-01T01:38:27Z
@claudeeeeeeeeeee,2030 ?? Anyone 🔥,1,2026-01-01T01:37:56Z
@RianMm-h6s,Best,0,2026-01-01T01:29:32Z
@Penocks,All the Chris’s has some of the best acting of all time,3,2026-01-01T01:29:01Z
@Bacon-nc2jg,love and thunder was so buns jonah hill comedey taking a serious route is what he needed,1,2026-01-01T01:28:48Z
@jxron__,This finna be so peak,0,2026-01-01T01:26:32Z
@Deaglan753,if thor did pray in this i am certainly looking forward to seeing how thor reacts to seeing Loki return,0,2026-01-01T01:25:32Z
@MumenKamen,More slop I see,0,2026-01-01T01:24:51Z
@Garjor,"Hoping that the Hulk is made a Badass again. More than the MCU has ever shown. I'm talking some ""The Incredible Hulk"" type moves. No getting beat up by Iron-Man -_-",0,2026-01-01T01:18:05Z
@billionnn12,How did you reward fans when they gave you money the first time?,1,2026-01-01T01:16:10Z
@castlerogers,That gave us a whole lot of nothing,0,2026-01-01T01:10:40Z
@bhagabankope,"What ever when Iron man never be back , it is not be perfect Avengers: Doomsday.... please bring him back .. once",0,2026-01-01T01:07:29Z
@MsJom123,Hey they finally realized it was a mistake to make Thor a punchline.,0,2026-01-01T01:06:24Z
@patrickk9912,This is top tier trailer,0,2026-01-01T01:04:17Z
@zevdevlive,This is a complete meh,0,2026-01-01T01:01:53Z
@morb2981,the last trailer will be The Incredible Hulk,0,2026-01-01T01:01:48Z
@Jo_nathanei585,Who here thinks that Deadpool is gonna appear in the new avengers?,1,2026-01-01T00:56:46Z
@AlwaysCxshin,My goat Thor 🐐🐐🐐,0,2026-01-01T00:56:38Z
@WeilianTing,how that count down work?,0,2026-01-01T00:52:59Z
@dervillesjournal,Turn on the surround sound.🎉🎉🎉,0,2026-01-01T00:52:16Z
@chrisc8073,I sure hope taika wahtiti wasnt allowed on set.,0,2026-01-01T00:51:54Z
@leogc123roblox9,Will ironman return,0,2026-01-01T00:48:23Z
@FromInfinityTV,"Why is being advertised A YEAR OUT
c'mon.",0,2026-01-01T00:46:22Z
@bryanp4827,I hope its going to be worth the very long wait...😳,0,2026-01-01T00:42:53Z
@Wari1909,Felt like running over to help him.  Not that he would need it,0,2026-01-01T00:42:48Z
@Lorenzo_49,This should be every father’s prayer to their daughter,1,2026-01-01T00:40:37Z
@simonjandrell5897,so this is Avengers End Game 2 Doomsday,0,2026-01-01T00:40:20Z
@c0smicc4nc3r4,Finally MCU is good again,0,2026-01-01T00:39:26Z
@simonjandrell5897,Avengers End Game 2? Uh!,0,2026-01-01T00:39:07Z
@simonjandrell5897,so who now is Little Thor Uh! man they are making this up as they go a long.. looks like this is picking up from ahh other movie or something?? Uh! Mind Fried,0,2026-01-01T00:36:39Z
@simonjandrell5897,AquaLobo Man,0,2026-01-01T00:35:20Z
@GamingCombine100,"You're telling me Thor ... the GOD of Thunder himself ... is praying for strength? Yeah, this isn't normal Doom at all. This has to be God Emperor Doom.",0,2026-01-01T00:35:00Z
@simonjandrell5897,is AuqamanLobo gonna be in this as well as he will have to be Half Aquaman and the other half Lobo,0,2026-01-01T00:34:42Z
@PUG2MAX,Did this movie get delayed? I thought it was going to be released in May of 2026,1,2026-01-01T00:29:27Z
@DougieYT,Seeing Thor actually acting like a a Mature Asgardian God again?? Humanity is healing again 🔥‼️,1,2026-01-01T00:27:14Z
@Tophatvr-oc7gm,11 months? 🥺,1,2026-01-01T00:26:32Z
@Wilem35,Who cares? Marvel.,1,2026-01-01T00:26:19Z
@jesserodriguez8116,"“Til your 9,000”",3,2026-01-01T00:25:07Z
@o.g.goldguygaming3006,SO they FINALLY tell you to your face that THOR really is JESUS!!!,1,2026-01-01T00:24:00Z
@G_MAC91,Does black widow have kids too?  😂😂😂😂,1,2026-01-01T00:23:59Z
@scottiepipp,GTA 6 gonna be out 🔥🔥,0,2026-01-01T00:23:41Z
@JB11335,Still waiting for Blade.,1,2026-01-01T00:22:57Z
@lburrsshinyhunts2253,“Thor will return…” did he go anywhere? He was in love and thunder. He didn’t die like one or go into the past like another,0,2026-01-01T00:22:08Z
@carl4898,"Can't wait for ""Scarlet Switch return""",1,2026-01-01T00:15:41Z
@helene7672,Just dont put ryan reynolds in it.,0,2026-01-01T00:15:29Z
@chrisbrian4190,Cap is back thor is back Stark is back heel. Am loving the gang is slowly but surely ganging up. I love it😂😂,0,2026-01-01T00:15:13Z
@ChazSmithProductions,Is this AI?,0,2026-01-01T00:13:19Z
@ArwinP-i6f,PEAK YO,0,2026-01-01T00:11:24Z
@VO4TEX-vr,Why does it look like ai😢,0,2026-01-01T00:09:03Z
@luzklarmann,I need the tickets now!,0,2026-01-01T00:08:36Z
@mcwEditz,"first time thor’s been serious in 2 movies, i’ve never been more exited for a movie😁",2,2026-01-01T00:06:03Z
@Fiction2K24,This is the Thor we should've got Vs Gore,0,2026-01-01T00:04:08Z
@user-matgill,Thor and Loki,0,2025-12-31T23:59:23Z
@NathanArchambault-m9l,Give us a real trailer!,0,2025-12-31T23:57:57Z
@BlueRainbowSky66,Happy New Year!,0,2025-12-31T23:57:03Z
@BlueRainbowSky66,You know that things are serious when Characters got their own Teaser.,491,2025-12-31T23:56:42Z
@ntheyezimba5856,This may be the last time we see Thor. If so I hope he goes out with a bang 🙌🏾,0,2025-12-31T23:56:32Z
@Ahab-.-3,Wanda?,0,2025-12-31T23:56:25Z
@ZaleLewis-e6x,At least Thor is ripped again,0,2025-12-31T23:55:14Z
@GolemGuy548,"So we got captain America and Thor, who will be next😮",0,2025-12-31T23:54:48Z
@duncankowable,"Thor, Brother of Geralt.",0,2025-12-31T23:52:35Z
@gabriellegrelle1829,"Idk if anyone grew up watching Avengers: Hero’s of Tomorrow, the one about their kids. But it would be so fire if they somehow brought that into the live actions since they’re bringing OG’s back and giving them kids. Obviously there’s no Tony or Ultron anymore but I still think they could do some cool stuff.",1,2025-12-31T23:52:00Z
@zarlieck,A teaser clip for every Original 6 Avenger I dare to say?,0,2025-12-31T23:51:36Z
@ssilent8202,Don’t screw over loki. Let him become the God of Time and Stories,1,2025-12-31T23:50:22Z
@jdubb6591,oh boy.  two more hours of no story and endless cgi battling.  i can hardly contain my excitement.  at least it will get me out of my divorced mom’s basement.,0,2025-12-31T23:49:45Z
@BSism-142,I feel for Chris.,0,2025-12-31T23:49:20Z
@cypher1133,"Hmmm should i not watch any more teasers, yup lets do that",0,2025-12-31T23:48:18Z
@kylehalim5957,No Fat Thor please,0,2025-12-31T23:47:37Z
@paddy489,Pathetic lol.,0,2025-12-31T23:44:53Z
@TheOldest,"Ok, now you've got my attention",0,2025-12-31T23:44:45Z
@jordynjackson6575,Cool trailer. One question though.. how'd Thor get his eye back?,1,2025-12-31T23:39:46Z
@jordan178649,STOP TEASING ME I ALREADY WANNA SEE IT,0,2025-12-31T23:38:58Z
@RUGER5264,“Another one”,1,2025-12-31T23:38:35Z
@WilliamsonCook-w4u,I don’t want to see the end of Thor😢,0,2025-12-31T23:37:24Z
@RatbaStard-h2u,No,0,2025-12-31T23:32:52Z
@wuhlfs8656,THE GOAT IS BACK LETS GOOO,0,2025-12-31T23:31:40Z
@stevecatanio8532,"These modern Marvel movies in my opinion suffer from the same problem. They aren't any ""fun"" and they're too serious for what they are.",1,2025-12-31T23:28:42Z
@jonathanwantland797,WE'RE BACK !!!!!!!,0,2025-12-31T23:28:29Z
@wowzers94,"If it was just this Thor and Steve with some of the old guard, I'd tune in. But he'll probably be in it for a few minutes to make room for all the other garbage, sidekick characters they will jam in.",0,2025-12-31T23:24:38Z
@NolanRichardsonlll-e8t,He looks like Travis Kelce in those shots,0,2025-12-31T23:22:45Z
@GM_Sibs,I've always preferred Thor with short hair,0,2025-12-31T23:21:12Z
@fried_riceee,That Thor x Deadpool collab is gonna hit hard,0,2025-12-31T23:17:26Z
@hotpanda108,God off thor Ragnarok,1,2025-12-31T23:14:59Z
@SW-et6xj,"Jesus loves you guys all of you please repent and accept him as the son of God before it's too late, dark times are ahead you feel it in the atmosphere these days please read the book of revelations it has predicted everything  ,  what do you have to loose by reading revelations and  having a sincere prayer with a open heart with Jesus 🙏🎉",1,2025-12-31T23:13:37Z
@KalebBarbosa-i2k,I really really really really really really want to work for you guys when I’m older I’m practicing all day for a spot on your comic business I heard you don’t take fan male so I’m pushing YouTube,0,2025-12-31T23:12:57Z
@ΙωάννηςΛεονταράκης,Why do I smell rune king Thor??,0,2025-12-31T23:12:20Z
@Bruhmoment1962,"Prime Thor>>>Wanda and Sentry. But if this Thor cant beat Doom, then Doom is very powerful.",0,2025-12-31T23:11:23Z
@jaelespinoza5062,yeah!,0,2025-12-31T23:08:16Z
@terrencejenkins2322,"“ please, father heed my words. “ Thor is serious again. Let’s go!",1,2025-12-31T23:07:48Z
@AYDE_,"I am early:  ""Dune 3 and Avengers 1 compete for BILLION DOLLARS at the BOX OFFICE!",0,2025-12-31T23:07:31Z
@oreo3850,"peakkkkk bro can't stop watching it , short hair Thor is back let's gooooooooo",0,2025-12-31T23:05:43Z
@lefttodiscover6063,"Im done with Avengers, they had an amazing run, but this is over streching something for the dollars. They dont need to.",0,2025-12-31T23:05:14Z
@jblaze600,Thor needs to be crown the All-Father. Give him the Odinforce against God Doom in all white.,0,2025-12-31T23:04:57Z
@The-SmilingPanda_NeatlySa,Thor odinson,0,2025-12-31T23:03:25Z
@AdamStrachn,Meh,0,2025-12-31T22:55:58Z
@BigNord64,Hopefully taika was banned from set,1,2025-12-31T22:55:27Z
@MrWanderlustr,I hope this time he remembers to aim for the head...,2,2025-12-31T22:52:31Z
@meow9760,Today is 2026,0,2025-12-31T22:48:27Z
@IoonathvvorId,we will not be watching ❤,0,2025-12-31T22:42:42Z
@EarthGalax,Let's hope it's not romantic related 🤦🤦🤦,0,2025-12-31T22:40:16Z
@amar9747,.,0,2025-12-31T22:38:35Z
@RoyalBinChicken,Heed my Words. O my Lord.,0,2025-12-31T22:38:28Z
@prahladnv,"All father, we pray in your name. Amen.🙏 ❤",0,2025-12-31T22:37:46Z
@ieuanrichards8840,Loki: I a sure you brother that next year the sun will shine on us again,0,2025-12-31T22:37:31Z
@arianfjx,GOOSEBUMPS MAN GOOSEBUMPS,3,2025-12-31T22:33:59Z
@megazubi,Here we go………,0,2025-12-31T22:33:18Z
@anotherrandom1,I mean I got chills so hmm,2,2025-12-31T22:32:46Z
@breazydeo6164,Waiting on the spiderman trailer,2,2025-12-31T22:30:47Z
@Gunner332,Excited for the thor and loki reunion,2,2025-12-31T22:29:31Z
@PrettyDreadie,Thor is one of my favorite superheroes,0,2025-12-31T22:28:57Z
@PrettyDreadie,Funny how the girl in the movie is Chris Hemsworth daughter in real life,0,2025-12-31T22:28:32Z
@czernoch2519,You know its something serious when Thor's praying and he got that haircut 🤯,0,2025-12-31T22:27:45Z
@ke-no-th-ia,Aim for the head Odinson!,0,2025-12-31T22:27:03Z
@KeeonWells,We are going to find out why he was crying in this movie,0,2025-12-31T22:25:52Z
@Liam94Smith,Hopefully they’re removing the Taika Waititi influence and making Thor the badass he is meant to be,1,2025-12-31T22:25:20Z
@PDXSarge,All I need to know is if we find how why Thor is crying.,0,2025-12-31T22:25:16Z
@buccaneercat,"Why can’t Thor be serious when he actually looks like Thor? I’m referring to his long golden locks. Thor hasn’t had that combination since Avengers Age of Ultron. It’s a bloody crime. I was hoping his last appearance would fully embrace the Nordic Viking look. Absolutely jacked, with a full beard, and long golden braids. At least they’re not making him a Taika Waititi driven joke like before… but he really should have his long hair back. It makes no sense why it would be styled and cut all modern, when he’s seemingly been off world taking care of his adopted daughter.",0,2025-12-31T22:23:01Z
@urielmanup,Thor has to die for this to be good.,1,2025-12-31T22:22:12Z
@Lalomalo_solidinca,Sounds like me praying to Jesus every morning,0,2025-12-31T22:22:05Z
@ll_2023_,Finally no cringe-inducing jokes every minute,0,2025-12-31T22:21:33Z
@nmasiyah959,A year countdown is insane. They gonna be invading airways all next year!!!,0,2025-12-31T22:18:06Z
@maxyeomans1500,Why release the trailer now when its a whole year away 😅,0,2025-12-31T22:17:53Z
@ply0710,"We don't want to hear the sound of lame jokes, only the sound of rain and thunder ⚡",2,2025-12-31T22:17:42Z
@scarllet1004,Happy new year❤❤,15,2025-12-31T22:11:19Z
@JP_LDN582,"This could be incredible..... my god, i hope it is....",2,2025-12-31T22:10:22Z
@AndreyLisov-i6m,"There was a lot of talk when Marvel first announce Doomsday, after this trailer we can see that things looks serious",0,2025-12-31T22:08:59Z
@Rai-Matt,When one trailer has more emotional depth than what Love and Thunder was going for.,0,2025-12-31T22:07:33Z
@michaelclendon6997,Rune king thor? 😁,0,2025-12-31T22:07:08Z
@nile00710,they better make this movie 4 hours atleast😭😭😭😭,3,2025-12-31T22:05:10Z
@THATBOYLANDO24,Where's the Hulk part,2,2025-12-31T22:02:54Z
@jerand2885,"Smh..Ironman as Dr. Doom...no thanks...and its not only in theaters,  it'll be on Disney+ too...",1,2025-12-31T21:57:03Z
@LordJunder,This looks terrible,1,2025-12-31T21:56:45Z
@JoséAlves-m4u,Happy New Year Marvel 🎇🎆!,1,2025-12-31T21:56:35Z
@dnip613,Considering its doomsday and secret wars....I think Thor will gain these powers in secret wars to save the day and that will be it for Chris. I think he's about done with this role,0,2025-12-31T21:51:25Z
@realeyesrealize4,Omgggg,0,2025-12-31T21:47:55Z
@threefiveorzero,"So they are for sure doing Battleworld then. Honestly, I didn't like the last few years of stuff, I'm all for this.",0,2025-12-31T21:47:55Z
@juanseb-s5t,No more jokes. No more dad bod. He has a purpose now. The greatest purpose any being can have. A child of his own. This will be EPIC!,4,2025-12-31T21:47:07Z
@0_Matheus,loucura,0,2025-12-31T21:45:44Z
@TravisN-xu6xs,😅😅😅😅😅😅,0,2025-12-31T21:44:37Z
@TravisN-xu6xs,😢😢😅😅😅😅😅😅😅,0,2025-12-31T21:44:10Z
@TravisN-xu6xs,😅😅😅😅😅😅,0,2025-12-31T21:43:37Z
@TravisN-xu6xs,Keanu reeves 😂😅❤😅❤😅❤😅❤😅❤😅❤😅😅❤😅😅😅😅😅😅😅,0,2025-12-31T21:43:08Z
@TravisN-xu6xs,😅😅😂😅😂😅😂😅🎉😅😅❤😅❤😅❤😅❤😅❤😅❤,0,2025-12-31T21:42:33Z
@Lemon826YT,WHY WAS THOR CRYING,2,2025-12-31T21:41:05Z
@locobean11,Scorsese was right.,0,2025-12-31T21:40:39Z
@brickguy627,This teaser with Thor is better than all of Love and Thunder,0,2025-12-31T21:39:28Z
@XxZ1GGYxX,They're setting up young avengers hard,0,2025-12-31T21:38:43Z
@TOUSIFHASAN,"Bring back IRON_MAN . we need him 😭😭.

MARVEL you don't know how much he mean to us .

I will pay you 3-4 times more the ticket charge",0,2025-12-31T21:37:33Z
@TravisN-xu6xs,😅😅😅😢🎉😂😂,0,2025-12-31T21:36:57Z
@TravisN-xu6xs,😅😅😅😅😅😅😅,0,2025-12-31T21:36:35Z
@jsj31313jj,Thespians ❤,0,2025-12-31T21:35:18Z
@crunkaintdead2911,"1:12 Love how they got the clock at the end 🤯🔥🔥🔥

Too Hardddd 💪🏽💪🏽💪🏽",0,2025-12-31T21:33:26Z
@SkelyGuy,dr Doom can hit,1,2025-12-31T21:32:06Z
@IdealUser,The Terminator will return in Avengers Doomsday,1,2025-12-31T21:28:02Z
@AdamFavre,"Sure. So is there a trailer coming for each and every returning character?  Ant Man perhaps? 

Love Downy Jr.... But looking forward to how much they make him look different and NOT be Tony Stark or how they explain how Tony became Victor Von Doom.   I love Downey as an actor, but this isn't Tim Burton/Johnny Depp.",1,2025-12-31T21:26:50Z
@leinaddidaz,"Welp, RIP Thor.",0,2025-12-31T21:25:59Z
